Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic
0,0.9980627203079294,1938.2592279444734,48,0.9951766428013948,1201.8392285952407,96,0.9948658978390855,1079.0819257894118,144,0.995587955539037,1054.9423674440263,192,0.996207106324305,1047.9316327386855,240,0.9966510912421551,1031.284679910546,288,0.9978442444679705,1092.350567001348
1,0.997128851030395,1590.950753429119,49,0.9950560795616893,1185.7187306585315,97,0.994767192267377,1068.4342222109271,145,0.9955306122360641,1048.5915374777255,193,0.996172436928142,1044.7380886959866,241,0.9966201050873202,1027.6228335038672,289,0.9977577067143639,1083.8107798721408
2,0.9966816804737394,1479.4390378889277,50,0.9948931677653613,1166.2321368292612,98,0.9946724857617203,1058.2370202136563,146,0.9955149931098324,1045.250826892768,194,0.9960852431788656,1036.6964776205289,242,0.9965030131270174,1018.7642176730898,290,0.9976419735068142,1072.124292518953
3,0.9963863849747081,1419.2031364051932,51,0.9947952458657103,1154.7296233980705,99,0.9946046288661052,1051.1824666144216,147,0.995490336716616,1041.9093554698234,195,0.9960209997334624,1029.8443976056753,243,0.9964457714594814,1014.1807159627429,291,0.9976071030743577,1067.6347655017921
4,0.9960965225982703,1365.5426051241377,52,0.9945786406308847,1131.3248790283385,100,0.9944866059855331,1040.32105111816,148,0.9954167853507547,1033.789178283958,196,0.9959236244599081,1020.0383646632478,244,0.9963556586338582,1007.007759945462,292,0.9975029127334535,1057.8695081042595
5,0.9959020788363852,1333.1894324717498,53,0.9944297020913079,1115.4459521981773,101,0.9944168119011256,1032.4553062457308,149,0.9953391256137696,1026.2171428775491,197,0.9958670616568489,1013.9686092288733,245,0.996274254500405,1000.1663980457516,293,0.997458913360077,1052.99426907105
6,0.9957173195669419,1304.0101539774137,54,0.9943320530834567,1105.1599079585578,102,0.994369776202868,1026.918595089769,150,0.9952713324099111,1019.5394141765712,198,0.9958618510015219,1011.6942431742124,246,0.996202547816062,994.5336021863689,294,0.9974290073323333,1048.772862959942
7,0.995570212632337,1281.7738708913591,55,0.9942935345721123,1100.715204631948,103,0.994357580534821,1024.4101575671898,151,0.9952574375167897,1017.3704381658706,199,0.9958993613033091,1012.1196032692276,247,0.996219834686381,995.1532029732441,295,0.9974488396668445,1048.6422608888604
8,0.9954348936050591,1264.3063802821164,56,0.9942252801777789,1094.30749338524,104,0.99435939510007,1023.0013916650595,152,0.9952071519032542,1012.4361266807309,200,0.9958252601088196,1005.3785861049969,248,0.996168405488316,990.1965861298056,296,0.9973843136722579,1041.9359945565457
9,0.9953629934056193,1253.90015802816,57,0.9941453277205402,1087.3018263302993,105,0.9943385672070615,1019.5257919093992,153,0.9951617561515529,1007.7439793182183,201,0.9957805288846678,1000.7469045272336,249,0.996195799161167,990.5797407315729,297,0.9973949572463406,1041.8824607019158
10,0.9952241547531887,1234.6368206896527,58,0.9940460088679471,1077.302040592309,106,0.9943082322164458,1015.2574864737271,154,0.9951338017542206,1003.5677006877848,202,0.9957170873943252,994.8470710459376,250,0.9961563836039253,986.2277818878193,298,0.9973403926506719,1036.6678035927291
11,0.9951292347119886,1222.1919009339558,59,0.9940080846341278,1072.6854523073732,107,0.994313910477608,1013.4602381578832,155,0.995121861699923,1002.0107191217116,203,0.9957024463098078,993.3847341206954,251,0.9961807733118347,986.478241394396,299,0.9973195572634104,1034.78799741174
12,0.9949749118650042,1202.3819167411266,60,0.9938941420184565,1062.0921594807808,108,0.9942771156834069,1009.024740447687,156,0.9950852784305407,998.6755740412001,204,0.9956390201497225,988.1502636985904,252,0.9961478469371382,983.4840836485038,300,0.9972609963655704,1029.7491752674664
13,0.9948726328133907,1188.7884385019643,61,0.9938421308406472,1057.5988889887326,109,0.9942950598254788,1008.8003138578466,157,0.9950795432399011,997.9297430448784,205,0.9956195100270208,986.4349277695493,253,0.99615526525104,983.1365971226242,301,0.9972459488917503,1028.7056671800967
14,0.9947153865939411,1169.5685974439289,62,0.9937062190975139,1046.2457444862089,110,0.9942062394351352,1002.266095735007,158,0.9950142258732911,992.6163105776357,206,0.9955206647538174,979.8331639596504,254,0.9961032917201743,979.162225509447,302,0.9971157802944226,1018.364003626574
15,0.9946795052917236,1165.3526783727086,63,0.9936634122196435,1043.0097549262437,111,0.9941517264185789,997.4371456494279,159,0.9949976315584106,990.7607779796588,207,0.9955027132296866,978.3874410456602,255,0.9961110005989344,978.9871899624969,303,0.9971212444360992,1017.1318420179864
16,0.9946235832466956,1159.2220189063883,64,0.9936368046338107,1041.2774405966015,112,0.9941375826238655,995.9226006047915,160,0.9950714853503185,994.688749249524,208,0.9954718396350289,976.4340281955427,256,0.9961151396616235,978.6736463787028,304,0.9970954533995392,1015.630081993322
17,0.9945381307354413,1151.4511753390566,65,0.9936192066407333,1039.3281464248907,113,0.9941180277450667,992.820301776562,161,0.9950387600651777,992.4813432781002,209,0.9954040931355147,972.330969681616,257,0.9960511968899084,973.7953460441552,305,0.9970563367630265,1012.2735724524588
18,0.9944525469371299,1143.4613603302848,66,0.9935922823663048,1036.0407368180752,114,0.9941562781198632,994.004167066642,162,0.9950362377902543,991.8707375306359,210,0.995344387255608,968.398220343147,258,0.9960671096486744,974.1409067490899,306,0.9970333235434874,1009.8847391212352
